date,NBN,Non-NBN,Mobile,Home Wireless Broadband
Jun-19,3479104,1800817,545555,
Dec-19,4874087,1374156,611791,
Jun-20,6277856,1124411,637389,
Dec-20,7761529,824764,686339,
Jun-21,8198116,545622,800314,
Dec-21,8991853,551342,783435,191975
Jun-22,9805000,532550,858749,261465
Dec-22,10100981,520562,1032736,352876
Jun-23,10623941,509703,1115544,625041
Dec-23,11266740,565777,1210138,705842
